transaction_id,date,merchant_raw,description,amount,transaction_type,payment_method,category,subcategory,merchant_clean,description_clean,text_features,log_amount,full_target
TXN_C_000011,2025-08-05 19:04:00,ACCENTURE INDIA PAYROLL DIRECT,Monthly net salary credit ref:30969,207376.27,credit,Direct Deposit,INCOME,Salary,ACCENTURE INDIA PAYROLL DIRECT,monthly net salary credit,ACCENTURE INDIA PAYROLL DIRECT monthly net salary credit,12.24229497378606,INCOME::Salary
TXN_C_000012,2025-01-06 21:46:00,PAYTM WALLET TOPUP LOAD,Money transfer from bank account to wallet ref:82512,4373.51,transfer,UPI,TRANSFER,Other Transfer,PAYTM WALLET TOPUP LOAD,money transfer from bank account to wallet,PAYTM WALLET TOPUP LOAD money transfer from bank account to wallet,8.383549792519247,TRANSFER::Other Transfer
TXN_C_000013,2025-05-31 13:10:00,IMPS/NEFT TO SISTER ACCOUNT,Inter-bank savings account funds transfer,15967.72,transfer,Net Banking,TRANSFER,Bank Transfer,IMPS NEFT TO SISTER ACCOUNT,inter bank savings account funds transfer,IMPS NEFT TO SISTER ACCOUNT inter bank savings account funds transfer,9.678387087715075,TRANSFER::Bank Transfer
TXN_C_000014,2025-09-17 03:55:00,ZEPTO QUICK COMMERCE,10-min grocery delivery milk bread curd ref:75612,1407.24,debit,Paytm,EXPENSE,Groceries,ZEPTO QUICK COMMERCE,10 min grocery delivery milk bread curd,ZEPTO QUICK COMMERCE 10 min grocery delivery milk bread curd,7.250095976737716,EXPENSE::Groceries
TXN_C_000015,2025-10-04 16:58:00,STARBUCKS COFFEE CONNAUGHT PL,Cappuccino and classic cold coffee ref:59009,783.76,debit,UPI,EXPENSE,Food,STARBUCKS COFFEE CONNAUGHT PL,cappuccino and classic cold coffee,STARBUCKS COFFEE CONNAUGHT PL cappuccino and classic cold coffee,6.665377938552628,EXPENSE::Food
TXN_C_000016,2025-06-07 07:03:00,HALDIRAMS RESTAURANT NOIDA PUNE,North Indian thali and sweets,1298.0,debit,UPI,EXPENSE,Food,HALDIRAMS RESTAURANT NOIDA PUNE,north indian thali and sweets,HALDIRAMS RESTAURANT NOIDA PUNE north indian thali and sweets,7.1693500166706,EXPENSE::Food
TXN_C_000017,2025-09-30 04:08:00,CROMA ELECTRONICS STORE STORE,Home appliance laptop monitor accessories,44035.72,debit,UPI,EXPENSE,Shopping,CROMA ELECTRONICS STORE STORE,home appliance laptop monitor accessories,CROMA ELECTRONICS STORE STORE home appliance laptop monitor accessories,10.69277911031551,EXPENSE::Shopping
TXN_C_000018,2025-12-20 06:45:00,CRED RENTPAY DIRECT WIRE HYD,Monthly apartment lease payment to owner,61445.67,debit,UPI,EXPENSE,Rent & Housing,CRED RENTPAY DIRECT WIRE HYD,monthly apartment lease payment to owner,CRED RENTPAY DIRECT WIRE HYD monthly apartment lease payment to owner,11.02592492312713,EXPENSE::Rent & Housing
TXN_C_000019,2025-03-03 07:14:00,DELHI METRO DMRC CARD RECHARGE,Subway smart card automated reload,614.06,debit,UPI,EXPENSE,Transport,DELHI METRO DMRC CARD RECHARGE,subway smart card automated reload,DELHI METRO DMRC CARD RECHARGE subway smart card automated reload,6.4217198240233655,EXPENSE::Transport
TXN_C_000020,2025-02-04 01:55:00,PAYTM*MYNTRA DESIGNS BANGALORE,Branded shirts jeans casual sneakers ref:92719,1346.5,debit,Credit Card,EXPENSE,Shopping,PAYTM DESIGNS BANGALORE,branded shirts jeans casual sneakers,PAYTM DESIGNS BANGALORE branded shirts jeans casual sneakers,7.206006302783152,EXPENSE::Shopping
TXN_C_000021,2025-10-20 18:30:00,BOOKMYSHOW PVR INOX MOVIES STORE,Weekend cinema IMAX movie tickets snacks ref:27342,1702.03,debit,UPI,EXPENSE,Entertainment,BOOKMYSHOW PVR INOX MOVIES STORE,weekend cinema imax movie tickets snacks,BOOKMYSHOW PVR INOX MOVIES STORE weekend cinema imax movie tickets snacks,7.4401642964793435,EXPENSE::Entertainment
TXN_C_000022,2025-07-30 14:55:00,CHAI POINT CYBER CITY BANGALORE,Ginger tea samosa and banana cake,175.66,debit,UPI,EXPENSE,Food,CHAI POINT CYBER CITY BANGALORE,ginger tea samosa and banana cake,CHAI POINT CYBER CITY BANGALORE ginger tea samosa and banana cake,5.174226981316986,EXPENSE::Food
TXN_C_000023,2025-08-18 04:27:00,BHARATPE-AMAZON SELLER SERVICES IN,Online electronics apparel kitchenware ref:35112,5159.31,debit,UPI,EXPENSE,Shopping,BHARATPE AMAZON SELLER SERVICES IN,online electronics apparel kitchenware,BHARATPE AMAZON SELLER SERVICES IN online electronics apparel kitchenware,8.548751934190406,EXPENSE::Shopping
TXN_C_000024,2025-11-30 17:53:00,RAPIDO BIKE TAXI RIDE,Quick metro station last-mile commute ref:82132,53.11,debit,UPI,EXPENSE,Transport,RAPIDO BIKE TAXI RIDE,quick metro station last mile commute,RAPIDO BIKE TAXI RIDE quick metro station last mile commute,3.991019011654644,EXPENSE::Transport
TXN_C_000025,2025-07-25 01:10:00,INDIAN OIL CORP PETROL PUMP,Two-wheeler petrol tank fuel refill ref:73653,1118.31,debit,Debit Card,EXPENSE,Fuel,INDIAN OIL CORP PETROL PUMP,two wheeler petrol tank fuel refill,INDIAN OIL CORP PETROL PUMP two wheeler petrol tank fuel refill,7.020467703010588,EXPENSE::Fuel
TXN_C_000026,2025-09-07 04:12:00,HDFC BANK ATM OUT OF NETWORK FEE STORE,Non-home bank ATM transaction surcharge ref:82845,40.19,debit,Bank Debit,EXPENSE,Fees & Charges,HDFC BANK ATM OUT OF NETWORK FEE STORE,non home bank atm transaction surcharge,HDFC BANK ATM OUT OF NETWORK FEE STORE non home bank atm transaction surcharge,3.718195508447989,EXPENSE::Fees & Charges
TXN_C_000027,2025-01-30 01:37:00,BLINKIT COMMERCE GURGAON,Weekly fresh fruits vegetables eggs,2456.53,debit,Credit Card,EXPENSE,Groceries,BLINKIT COMMERCE GURGAON,weekly fresh fruits vegetables eggs,BLINKIT COMMERCE GURGAON weekly fresh fruits vegetables eggs,7.806912059474786,EXPENSE::Groceries
TXN_C_000028,2025-04-06 02:38:00,SOCIETY MAINTENANCE CHARGES,Monthly gated community maintenance water ref:76562,2520.72,debit,UPI,EXPENSE,Rent & Housing,SOCIETY MAINTENANCE CHARGES,monthly gated community maintenance water,SOCIETY MAINTENANCE CHARGES monthly gated community maintenance water,7.832696487363735,EXPENSE::Rent & Housing
TXN_C_000029,2025-10-24 19:02:00,DPS SCHOOL QUARTERLY TUITION,School term tuition fees and bus charges,43483.77,debit,Net Banking,EXPENSE,Education,DPS SCHOOL QUARTERLY TUITION,school term tuition fees and bus charges,DPS SCHOOL QUARTERLY TUITION school term tuition fees and bus charges,10.6801660408297,EXPENSE::Education
TXN_C_000030,2025-12-09 22:20:00,FIVERR GIG PAYOUT RAZORPAY,Web development consulting payment,14691.39,credit,UPI,INCOME,Freelance,FIVERR GIG PAYOUT RAZORPAY,web development consulting payment,FIVERR GIG PAYOUT RAZORPAY web development consulting payment,9.595084951645779,INCOME::Freelance
TXN_C_000031,2025-01-05 14:39:00,RAZORPAY*STEAM GAMES INDIA VALVE,Digital video game download purchase,3767.64,debit,Credit Card,EXPENSE,Entertainment,RAZORPAY GAMES INDIA VALVE,digital video game download purchase,RAZORPAY GAMES INDIA VALVE digital video game download purchase,8.234469472653183,EXPENSE::Entertainment
TXN_C_000032,2025-05-06 11:18:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani ref:55745,1254.65,debit,UPI,EXPENSE,Food,SWIGGY RESTAURANT,food delivery dinner order biryani,SWIGGY RESTAURANT food delivery dinner order biryani,7.135408645774175,EXPENSE::Food
TXN_C_000033,2025-12-01 16:00:00,PAYTM BUSINESS SETTLEMENT CR,Shop sales disbursement,148212.63,credit,Bank Transfer,INCOME,Business Income,PAYTM BUSINESS SETTLEMENT CR,shop sales disbursement,PAYTM BUSINESS SETTLEMENT CR shop sales disbursement,11.906409957925506,INCOME::Business Income
TXN_C_000034,2025-03-21 08:18:00,SBI ATM CASH WITHDRAWAL BANGALORE,ATM machine currency cash withdrawal,7552.96,transfer,Debit Card,TRANSFER,Cash Withdrawal,SBI ATM CASH WITHDRAWAL BANGALORE,atm machine currency cash withdrawal,SBI ATM CASH WITHDRAWAL BANGALORE atm machine currency cash withdrawal,8.929827208050545,TRANSFER::Cash Withdrawal
TXN_C_000035,2025-08-05 08:02:00,RAZORPAY*HDFC BANK ATM WITHDRAWAL,Self cash withdrawal from ATM outlet ref:16658,2753.67,transfer,Debit Card,TRANSFER,Cash Withdrawal,RAZORPAY BANK ATM WITHDRAWAL,self cash withdrawal from atm outlet,RAZORPAY BANK ATM WITHDRAWAL self cash withdrawal from atm outlet,7.921052932198396,TRANSFER::Cash Withdrawal
TXN_C_000036,2025-08-07 17:00:00,URBAN COMPANY PLUMBER CARPENTER,Home tap repair carpentry maintenance ref:67912,1127.07,debit,UPI,EXPENSE,Other Expense,URBAN COMPANY PLUMBER CARPENTER,home tap repair carpentry maintenance,URBAN COMPANY PLUMBER CARPENTER home tap repair carpentry maintenance,7.028263486870153,EXPENSE::Other Expense
TXN_C_000037,2025-10-26 17:09:00,AMAZON SELLER SERVICES IN,Online electronics apparel kitchenware ref:14722,20947.41,debit,Debit Card,EXPENSE,Shopping,AMAZON SELLER SERVICES IN,online electronics apparel kitchenware,AMAZON SELLER SERVICES IN online electronics apparel kitchenware,9.949818027482047,EXPENSE::Shopping
TXN_C_000038,2025-07-03 06:43:00,BHARATPE-INCOME TAX REFUND CPC BANGALORE,Direct tax refund FY2024-25 credit,39079.86,credit,Direct Deposit,INCOME,Other Income,BHARATPE INCOME TAX REFUND CPC BANGALORE,direct tax refund fy2024 25 credit,BHARATPE INCOME TAX REFUND CPC BANGALORE direct tax refund fy2024 25 credit,10.573388112055836,INCOME::Other Income
TXN_C_000039,2025-05-02 05:51:00,CRED-OPENAI CHATGPT PLUS SUB,Monthly AI assistant subscription in INR,2066.59,debit,Credit Card,EXPENSE,Subscriptions,CRED OPENAI CHATGPT PLUS SUB,monthly ai assistant subscription in inr,CRED OPENAI CHATGPT PLUS SUB monthly ai assistant subscription in inr,7.634138956784748,EXPENSE::Subscriptions
TXN_C_000040,2025-05-08 08:10:00,BHARATPE-BHARAT PETROLEUM BPCL BUNKER,Automobile unleaded petrol fillup,4514.58,debit,Debit Card,EXPENSE,Fuel,BHARATPE BHARAT PETROLEUM BPCL BUNKER,automobile unleaded petrol fillup,BHARATPE BHARAT PETROLEUM BPCL BUNKER automobile unleaded petrol fillup,8.415288918287319,EXPENSE::Fuel
TXN_C_000041,2025-04-27 07:01:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani ref:70332,606.58,debit,Debit Card,EXPENSE,Food,SWIGGY RESTAURANT,food delivery dinner order biryani,SWIGGY RESTAURANT food delivery dinner order biryani,6.409483853787498,EXPENSE::Food
TXN_C_000042,2025-11-25 16:25:00,RAZORPAY*TATA POWER DDL BILL PAY,Monthly residential power consumption,2679.36,debit,Net Banking,EXPENSE,Bills & Utilities,RAZORPAY POWER DDL BILL PAY,monthly residential power consumption,RAZORPAY POWER DDL BILL PAY monthly residential power consumption,7.893706392841866,EXPENSE::Bills & Utilities
TXN_C_000043,2025-06-10 13:38:00,RAZORPAY*UPWORK FOREX INWARD REMITTANCE NOIDA,Freelance UI/UX design project fee ref:88193,32770.13,credit,Wire Transfer,INCOME,Freelance,RAZORPAY FOREX INWARD REMITTANCE NOIDA,freelance ui ux design project fee,RAZORPAY FOREX INWARD REMITTANCE NOIDA freelance ui ux design project fee,10.397303223856964,INCOME::Freelance
TXN_C_000044,2025-10-03 21:46:00,HDFC FIXED DEPOSIT CREATE,Term deposit lock-in placement for 1 year,10152.22,transfer,Net Banking,TRANSFER,Savings,HDFC FIXED DEPOSIT CREATE,term deposit lock in placement for 1 year,HDFC FIXED DEPOSIT CREATE term deposit lock in placement for 1 year,9.225546175538838,TRANSFER::Savings
TXN_C_000045,2025-12-06 03:46:00,SWIGGY INSTAMART GROCERY,Pantry staples oil wheat dal spices,2917.25,debit,Credit Card,EXPENSE,Groceries,SWIGGY INSTAMART GROCERY,pantry staples oil wheat dal spices,SWIGGY INSTAMART GROCERY pantry staples oil wheat dal spices,7.978739400532772,EXPENSE::Groceries
TXN_C_000046,2025-12-07 12:43:00,CRED-YOUTUBE PREMIUM INDIA NOIDA,Ad-free video streaming family plan,140.51,debit,UPI AutoPay,EXPENSE,Subscriptions,CRED YOUTUBE PREMIUM INDIA NOIDA,ad free video streaming family plan,CRED YOUTUBE PREMIUM INDIA NOIDA ad free video streaming family plan,4.95237038596428,EXPENSE::Subscriptions
TXN_C_000047,2025-04-18 13:50:00,CROMA ELECTRONICS STORE,Home appliance laptop monitor accessories,14509.72,debit,UPI,EXPENSE,Shopping,CROMA ELECTRONICS STORE,home appliance laptop monitor accessories,CROMA ELECTRONICS STORE home appliance laptop monitor accessories,9.582642965598223,EXPENSE::Shopping
TXN_C_000048,2025-08-31 23:10:00,SOCIETY MAINTENANCE CHARGES,Monthly gated community maintenance water,3389.06,debit,UPI,EXPENSE,Rent & Housing,SOCIETY MAINTENANCE CHARGES,monthly gated community maintenance water,SOCIETY MAINTENANCE CHARGES monthly gated community maintenance water,8.128602899332913,EXPENSE::Rent & Housing
TXN_C_000049,2025-05-01 21:19:00,CRED RENTPAY DIRECT WIRE,Monthly apartment lease payment to owner,55921.17,debit,Credit Card,EXPENSE,Rent & Housing,CRED RENTPAY DIRECT WIRE,monthly apartment lease payment to owner,CRED RENTPAY DIRECT WIRE monthly apartment lease payment to owner,10.931716181591119,EXPENSE::Rent & Housing
TXN_C_000050,2025-08-22 13:56:00,ZOMATO FOOD ORDER #49102 STORE,Weekend lunch food delivery burger pizza,1434.21,debit,Paytm Wallet,EXPENSE,Food,ZOMATO FOOD ORDER STORE,weekend lunch food delivery burger pizza,ZOMATO FOOD ORDER STORE weekend lunch food delivery burger pizza,7.2690664589502685,EXPENSE::Food
TXN_C_000051,2025-02-24 13:14:00,PAYTM WALLET TOPUP LOAD HYD,Money transfer from bank account to wallet ref:95990,3594.3,transfer,UPI,TRANSFER,Other Transfer,PAYTM WALLET TOPUP LOAD HYD,money transfer from bank account to wallet,PAYTM WALLET TOPUP LOAD HYD money transfer from bank account to wallet,8.187382715908502,TRANSFER::Other Transfer
TXN_C_000052,2025-03-10 14:42:00,UPI TRANSACTION CHARGE/PENALTY DELHI,Bank ECS bounce penalty charges,291.26,debit,Bank Debit,EXPENSE,Fees & Charges,UPI TRANSACTION CHARGE PENALTY DELHI,bank ecs bounce penalty charges,UPI TRANSACTION CHARGE PENALTY DELHI bank ecs bounce penalty charges,5.677643817046507,EXPENSE::Fees & Charges
TXN_C_000053,2025-10-08 14:57:00,HDFC BANK ATM WITHDRAWAL,Self cash withdrawal from ATM outlet,16780.81,transfer,Debit Card,TRANSFER,Cash Withdrawal,HDFC BANK ATM WITHDRAWAL,self cash withdrawal from atm outlet,HDFC BANK ATM WITHDRAWAL self cash withdrawal from atm outlet,9.728050840711772,TRANSFER::Cash Withdrawal
TXN_C_000054,2025-05-22 16:31:00,KITE ZERODHA EQUITY BUY,Stocks portfolio investment purchase,42313.42,transfer,UPI,TRANSFER,Investment,KITE ZERODHA EQUITY BUY,stocks portfolio investment purchase,KITE ZERODHA EQUITY BUY stocks portfolio investment purchase,10.652883205286884,TRANSFER::Investment
TXN_C_000055,2025-10-04 02:08:00,STEAM GAMES INDIA VALVE,Digital video game download purchase ref:54020,1549.95,debit,Credit Card,EXPENSE,Entertainment,STEAM GAMES INDIA VALVE,digital video game download purchase,STEAM GAMES INDIA VALVE digital video game download purchase,7.346622925390627,EXPENSE::Entertainment
TXN_C_000056,2025-08-27 13:03:00,POS SBI RECURRING DEPOSIT RD CR,Monthly recurring deposit savings installment ref:63424,7286.75,transfer,Auto Debit,TRANSFER,Savings,SBI RECURRING DEPOSIT RD CR,monthly recurring deposit savings installment,SBI RECURRING DEPOSIT RD CR monthly recurring deposit savings installment,8.893950135387659,TRANSFER::Savings
TXN_C_000057,2025-01-04 11:19:00,ICICI BANK SB INTEREST CREDIT,Savings account quarterly interest credit,1804.66,credit,Bank Credit,INCOME,Interest,ICICI BANK SB INTEREST CREDIT,savings account quarterly interest credit,ICICI BANK SB INTEREST CREDIT savings account quarterly interest credit,7.498681454902486,INCOME::Interest
TXN_C_000058,2025-09-07 07:17:00,CHAI POINT CYBER CITY,Ginger tea samosa and banana cake,322.41,debit,Paytm,EXPENSE,Food,CHAI POINT CYBER CITY,ginger tea samosa and banana cake,CHAI POINT CYBER CITY ginger tea samosa and banana cake,5.778920868124441,EXPENSE::Food
TXN_C_000059,2025-08-28 04:39:00,BHARATPE-FIVERR GIG PAYOUT RAZORPAY,Web development consulting payment,33691.44,credit,UPI,INCOME,Freelance,BHARATPE FIVERR GIG PAYOUT RAZORPAY,web development consulting payment,BHARATPE FIVERR GIG PAYOUT RAZORPAY web development consulting payment,10.425028758829976,INCOME::Freelance
TXN_C_000060,2025-08-25 05:03:00,NYKAA E-RETAIL BEAUTY,Skincare grooming perfumes and cosmetics ref:66179,1135.28,debit,Credit Card,EXPENSE,Shopping,NYKAA E BEAUTY,skincare grooming perfumes and cosmetics,NYKAA E BEAUTY skincare grooming perfumes and cosmetics,7.035515047783409,EXPENSE::Shopping
TXN_C_000061,2025-02-11 15:01:00,BILLDESK-DELHI METRO DMRC CARD RECHARGE HYD,Subway smart card automated reload ref:65255,401.82,debit,UPI,EXPENSE,Transport,BILLDESK DELHI METRO DMRC CARD RECHARGE HYD,subway smart card automated reload,BILLDESK DELHI METRO DMRC CARD RECHARGE HYD subway smart card automated reload,5.998489812044735,EXPENSE::Transport
TXN_C_000062,2025-05-07 06:53:00,UPI-SWIGGY INSTAMART GROCERY,Pantry staples oil wheat dal spices,3467.78,debit,UPI,EXPENSE,Groceries,UPI SWIGGY INSTAMART GROCERY,pantry staples oil wheat dal spices,UPI SWIGGY INSTAMART GROCERY pantry staples oil wheat dal spices,8.151558226105994,EXPENSE::Groceries
TXN_C_000063,2025-05-12 11:10:00,POS IMPS/NEFT TO SISTER ACCOUNT,Inter-bank savings account funds transfer ref:38569,21461.5,transfer,Net Banking,TRANSFER,Bank Transfer,IMPS NEFT TO SISTER ACCOUNT,inter bank savings account funds transfer,IMPS NEFT TO SISTER ACCOUNT inter bank savings account funds transfer,9.974062505205731,TRANSFER::Bank Transfer
TXN_C_000064,2025-07-12 12:45:00,OLA CABS TRIP #94812,City taxi rideshare transport,593.67,debit,UPI,EXPENSE,Transport,OLA CABS TRIP,city taxi rideshare transport,OLA CABS TRIP city taxi rideshare transport,6.3880066298373,EXPENSE::Transport
TXN_C_000065,2025-11-04 03:50:00,AMAZON SELLER SERVICES IN,Online electronics apparel kitchenware ref:49529,21332.03,debit,Credit Card,EXPENSE,Shopping,AMAZON SELLER SERVICES IN,online electronics apparel kitchenware,AMAZON SELLER SERVICES IN online electronics apparel kitchenware,9.968011854822612,EXPENSE::Shopping
TXN_C_000066,2025-08-04 15:06:00,CRED RENTPAY DIRECT WIRE,Monthly apartment lease payment to owner ref:94874,32061.56,debit,UPI,EXPENSE,Rent & Housing,CRED RENTPAY DIRECT WIRE,monthly apartment lease payment to owner,CRED RENTPAY DIRECT WIRE monthly apartment lease payment to owner,10.375444273256404,EXPENSE::Rent & Housing
TXN_C_000067,2025-09-25 20:17:00,STARBUCKS COFFEE CONNAUGHT PL,Cappuccino and classic cold coffee,554.84,debit,Credit Card,EXPENSE,Food,STARBUCKS COFFEE CONNAUGHT PL,cappuccino and classic cold coffee,STARBUCKS COFFEE CONNAUGHT PL cappuccino and classic cold coffee,6.32048048305274,EXPENSE::Food
TXN_C_000068,2025-02-14 08:56:00,URBAN COMPANY PLUMBER CARPENTER,Home tap repair carpentry maintenance ref:42177,1545.93,debit,Cash,EXPENSE,Other Expense,URBAN COMPANY PLUMBER CARPENTER,home tap repair carpentry maintenance,URBAN COMPANY PLUMBER CARPENTER home tap repair carpentry maintenance,7.344027600680527,EXPENSE::Other Expense
TXN_C_000069,2025-09-11 10:11:00,HDFC BANK FD INTEREST CR,Quarterly fixed deposit interest payout,5377.75,credit,Bank Credit,INCOME,Interest,HDFC BANK FD INTEREST CR,quarterly fixed deposit interest payout,HDFC BANK FD INTEREST CR quarterly fixed deposit interest payout,8.59021128415281,INCOME::Interest
TXN_C_000070,2025-04-08 02:15:00,RAZORPAY*PAYTM WALLET TOPUP LOAD NOIDA,Money transfer from bank account to wallet,2824.82,transfer,Debit Card,TRANSFER,Other Transfer,RAZORPAY WALLET TOPUP LOAD NOIDA,money transfer from bank account to wallet,RAZORPAY WALLET TOPUP LOAD NOIDA money transfer from bank account to wallet,7.946553866948391,TRANSFER::Other Transfer
TXN_C_000071,2025-01-09 02:18:00,ICICI CREDIT CARD ANNUAL FEE STORE,Annual credit card membership charges,1972.46,debit,Statement Debit,EXPENSE,Fees & Charges,ICICI CREDIT CARD ANNUAL FEE STORE,annual credit card membership charges,ICICI CREDIT CARD ANNUAL FEE STORE annual credit card membership charges,7.587543626339093,EXPENSE::Fees & Charges
TXN_C_000072,2025-08-06 23:35:00,BIGBASKET SUPERMARKET ORDER PUNE,Monthly household monthly grocery order,5747.38,debit,Credit Card,EXPENSE,Groceries,BIGBASKET SUPERMARKET ORDER PUNE,monthly household monthly grocery order,BIGBASKET SUPERMARKET ORDER PUNE monthly household monthly grocery order,8.656673354965037,EXPENSE::Groceries
TXN_C_000073,2025-10-02 22:11:00,WIPRO TECHNOLOGIES SALARY CR NOIDA,Monthly employee salary disbursement ref:35242,71021.23,credit,Direct Deposit,INCOME,Salary,WIPRO TECHNOLOGIES SALARY CR NOIDA,monthly employee salary disbursement,WIPRO TECHNOLOGIES SALARY CR NOIDA monthly employee salary disbursement,11.170748205609867,INCOME::Salary
TXN_C_000074,2025-06-01 07:23:00,PHONEPE P2P UPI TRANSFER NOIDA,Split dinner bill with friend UPI payment,4179.88,transfer,UPI,TRANSFER,Bank Transfer,PHONEPE P2P UPI TRANSFER NOIDA,split dinner bill with friend upi payment,PHONEPE P2P UPI TRANSFER NOIDA split dinner bill with friend upi payment,8.338277029677036,TRANSFER::Bank Transfer
TXN_C_000075,2025-03-06 20:55:00,POS HOTSTAR DISNEY PLUS ANNUAL,Cricket IPL and movie streaming sub,1135.9,debit,Credit Card,EXPENSE,Subscriptions,HOTSTAR DISNEY PLUS ANNUAL,cricket ipl and movie streaming sub,HOTSTAR DISNEY PLUS ANNUAL cricket ipl and movie streaming sub,7.036060539135061,EXPENSE::Subscriptions
TXN_C_000076,2025-04-05 01:16:00,HDFC ERGO HEALTH INSURANCE,Annual family floater health policy premium,18571.25,debit,Credit Card,EXPENSE,Insurance,HDFC ERGO HEALTH INSURANCE,annual family floater health policy premium,HDFC ERGO HEALTH INSURANCE annual family floater health policy premium,9.829423810173486,EXPENSE::Insurance
TXN_C_000077,2025-03-19 04:51:00,HDFC BANK ATM OUT OF NETWORK FEE,Non-home bank ATM transaction surcharge ref:92502,40.91,debit,Bank Debit,EXPENSE,Fees & Charges,HDFC BANK ATM OUT OF NETWORK FEE,non home bank atm transaction surcharge,HDFC BANK ATM OUT OF NETWORK FEE non home bank atm transaction surcharge,3.73552446193698,EXPENSE::Fees & Charges
TXN_C_000078,2025-04-26 16:24:00,HDFC BANK FD INTEREST CR HYD,Quarterly fixed deposit interest payout,11965.74,credit,Bank Credit,INCOME,Interest,HDFC BANK FD INTEREST CR HYD,quarterly fixed deposit interest payout,HDFC BANK FD INTEREST CR HYD quarterly fixed deposit interest payout,9.389886413923188,INCOME::Interest
TXN_C_000079,2025-04-17 20:13:00,CRED-DELHI METRO DMRC CARD RECHARGE,Subway smart card automated reload,792.07,debit,Debit Card,EXPENSE,Transport,CRED DELHI METRO DMRC CARD RECHARGE,subway smart card automated reload,CRED DELHI METRO DMRC CARD RECHARGE subway smart card automated reload,6.675911490122425,EXPENSE::Transport
